year,age,maritl,race,education,region,jobclass,health,health_ins,logwage,wage
2006,18,Never Married,White,Below HS Grad,Middle Atlantic,Industrial,Good,No,4.318063335,75.04315402
2004,24,Never Married,White,College Grad,Middle Atlantic,Information,Very Good,No,4.255272505,70.47601965
2003,45,Married,White,Some College,Middle Atlantic,Industrial,Good,Yes,4.875061263,130.9821774
2003,43,Married,Asian,College Grad,Middle Atlantic,Information,Very Good,Yes,5.041392685,154.685293
2005,50,Divorced,White,HS Grad,Middle Atlantic,Information,Good,Yes,4.318063335,75.04315402
2008,54,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.84509804,127.1157438
2009,44,Married,Other,Some College,Middle Atlantic,Industrial,Very Good,Yes,5.133021279,169.528538
2008,30,Never Married,Asian,Some College,Middle Atlantic,Information,Good,Yes,4.716003344,111.7208494
2006,41,Never Married,Black,Some College,Middle Atlantic,Information,Very Good,Yes,4.77815125,118.8843593
2004,52,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Yes,4.857332496,128.6804882
2007,45,Divorced,White,Some College,Middle Atlantic,Information,Good,Yes,4.763427994,117.1468169
2007,34,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,No,4.397940009,81.28325328
2005,35,Never Married,White,HS Grad,Middle Atlantic,Information,Very Good,Yes,4.494154594,89.49247952
2003,39,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Yes,4.903089987,134.7053751
2009,54,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Yes,4.903089987,134.7053751
2009,51,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.505149978,90.48191336
2003,37,Never Married,Asian,College Grad,Middle Atlantic,Industrial,Very Good,No,4.414973348,82.6796373
2006,50,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,No,5.360551762,212.8423523
2007,56,Married,White,College Grad,Middle Atlantic,Industrial,Good,Yes,4.861026342,129.156693
2003,37,Never Married,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.591064607,98.59934386
2003,38,Married,Asian,College Grad,Middle Atlantic,Information,Very Good,No,5.301029996,200.5432623
2005,40,Divorced,White,HS Grad,Middle Atlantic,Information,Very Good,No,3.920123326,50.40666086
2009,75,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Yes,4.447158031,85.38394038
2007,40,Married,White,College Grad,Middle Atlantic,Information,Very Good,No,5.079181246,160.6424754
2006,38,Never Married,White,HS Grad,Middle Atlantic,Industrial,Good,No,4.544068044,94.07271475
